nom,artistes,année,popularité,durée_ms,tonalité,mode,signature_temps,acoustique,dansabilité,énergie,instrumentalité,vivacité,loudness,parlant,valence,tempo,album
this is what falling in love feels like,JVKE,2022,78,120308,11,1,5,0.617,0.422,0.44,0,0.0837,-5.53,0.0544,0.332,128.934,this is what ____ feels like (Vol. 1-4)
Eres Ese Algo,La Maquinaria Norteña,2022,79,173587,4,0,4,0.468,0.722,0.76,0.00066,0.0814,-5.427,0.0501,0.793,113.872,Al Derecho Y Al Reverso
GATÚBELA,"KAROL G, Maldy",2022,82,209160,11,0,4,0.263,0.627,0.858,0,0.21,-2.824,0.386,0.342,92.523,GATÚBELA
Heart Like A Truck,Lainey Wilson,2022,71,199040,9,1,4,0.148,0.587,0.632,1.01e-05,0.158,-5.416,0.0311,0.392,139.974,Heart Like A Truck
Bebe Dame,"Fuerza Regida, Grupo Frontera",2022,79,271862,7,1,4,0.299,0.529,0.602,0,0.0716,-4.629,0.0458,0.756,157.643,Sigan Hablando
5 Foot 9,Tyler Hubbard,2022,72,189780,5,1,4,0.146,0.602,0.796,0,0.125,-5.609,0.0465,0.53,106.005,5 Foot 9
HOTEL LOBBY (Unc & Phew),"Quavo, Takeoff",2022,75,142657,11,1,4,0.142,0.821,0.636,0,0.233,-4.479,0.169,0.163,127.961,HOTEL LOBBY (Unc & Phew)
Matte Black,$uicideboy$,2022,73,238146,10,0,4,0.122,0.877,0.826,1.05e-05,0.104,-3.75,0.206,0.814,75.003,"Sing Me a Lullaby, My Sweet Temptation"
Days That End In Why,Morgan Wallen,2022,71,162475,6,1,3,0.213,0.451,0.618,3.22e-05,0.165,-5.677,0.0263,0.457,159.856,One Thing At A Time (Sampler)
1000 Blunts,$uicideboy$,2022,73,175476,5,0,4,0.224,0.83,0.698,1.02e-06,0.191,-6.517,0.077,0.595,132.99,"Sing Me a Lullaby, My Sweet Temptation"
Dah Dah DahDah,Nardo Wick,2022,72,151776,11,1,4,0.149,0.66,0.373,0,0.106,-10.234,0.595,0.35,167.912,Who is Nardo Wick?? (Deluxe)
Just Pretend,Bad Omens,2022,74,204677,5,0,4,0.00252,0.457,0.834,0.00125,0.1,-4.674,0.0817,0.201,140.032,THE DEATH OF PEACE OF MIND
Tarot,"Bad Bunny, Jhayco",2022,82,237895,11,0,4,0.0225,0.795,0.684,0,0.658,-3.971,0.0419,0.419,114.011,Un Verano Sin Ti
Hey Mor,"Ozuna, Feid",2022,88,196600,1,0,4,0.00302,0.901,0.589,0.000237,0.0992,-6.713,0.289,0.399,98.002,OzuTochi
The Great War,Taylor Swift,2022,77,240356,5,1,4,0.219,0.573,0.741,2.23e-05,0.0842,-8.987,0.0353,0.554,96.016,Midnights (3am Edition)
i'm yours,Isabel LaRosa,2022,80,145668,5,0,4,0.204,0.398,0.705,5.13e-05,0.443,-7.07,0.0756,0.635,111.487,i'm yours
Daylight,Harry Styles,2022,78,164533,0,1,3,0.484,0.686,0.445,0.00144,0.175,-7.189,0.0398,0.626,145.5,Harry's House
Die Young (feat. 347aidan),"Sleepy Hallow, 347aidan",2022,75,148817,11,1,4,0.827,0.808,0.582,0,0.111,-6.26,0.338,0.675,77.471,Die Young (feat. 347aidan)
BILLIE EILISH.,Armani White,2022,79,99283,1,1,4,0.115,0.9,0.509,1.67e-06,0.0937,-6.647,0.257,0.765,100.007,BILLIE EILISH.
Boyfriend,Dove Cameron,2022,79,153000,7,0,3,0.232,0.345,0.612,0,0.194,-6.543,0.0608,0.232,179.773,Boyfriend
CHORRITO PA LAS ANIMAS,Feid,2022,86,168133,8,0,4,0.114,0.743,0.831,6.43e-05,0.35,-4.042,0.0584,0.609,95.975,SIXDO
El Gavilán,"Luis R Conriquez, Tony Aguirre, Peso Pluma",2022,82,175296,11,1,3,0.144,0.724,0.684,0.0035,0.302,-4.413,0.0705,0.729,144.117,El Gavilán
Jumbotron Shit Poppin,Drake,2022,73,137151,6,0,4,0.221,0.799,0.575,0,0.196,-6.257,0.282,0.319,99.026,Her Loss
California Breeze,Lil Baby,2022,73,177789,5,0,4,0.00361,0.738,0.666,0,0.107,-6.97,0.455,0.215,161.734,It's Only Me
En Paris,"El Chachito, Junior H",2022,81,162795,3,0,3,0.366,0.702,0.483,0.000131,0.124,-7.99,0.0524,0.769,138.842,En Paris
Out of Time,The Weeknd,2022,79,214194,0,0,4,0.255,0.65,0.76,0,0.339,-4.422,0.0446,0.838,93.057,Dawn FM
Too Late,SZA,2022,73,164427,11,1,5,0.781,0.445,0.681,0.000789,0.386,-7.558,0.0829,0.351,127.541,SOS
If He Wanted To He Would,Kylie Morgan,2022,71,174173,0,1,4,0.0998,0.655,0.617,0,0.211,-4.716,0.026,0.734,90.015,P.S.
La Corriente,"Bad Bunny, Tony Dize",2022,80,198367,11,0,4,0.229,0.663,0.786,0,0.219,-3.51,0.195,0.579,196.12,Un Verano Sin Ti
Face 2 Face,Juice WRLD,2022,75,124558,9,1,4,0.0948,0.711,0.72,0,0.101,-4.532,0.0308,0.437,155.997,Face 2 Face
Next Thing You Know,Jordan Davis,2022,71,175238,5,1,4,0.646,0.557,0.597,0,0.0974,-8.296,0.048,0.414,78.526,Next Thing You Know
Keep Driving,Harry Styles,2022,76,140242,9,1,3,0.321,0.721,0.479,0.00156,0.182,-9.669,0.226,0.902,164.948,Harry's House
Bones,Imagine Dragons,2022,82,165265,5,0,4,0.0201,0.772,0.75,0,0.074,-3.67,0.0455,0.587,114.061,Mercury - Acts 1 & 2
JGL,"La Adictiva, Luis R Conriquez",2022,80,158093,8,1,4,0.55,0.702,0.586,0,0.27,-5.317,0.118,0.965,112.852,JGL
Thousand Miles,The Kid LAROI,2022,77,164782,7,1,4,0.0858,0.376,0.657,0,0.0884,-4.658,0.0768,0.203,80.565,Thousand Miles
My All,Polo G,2022,73,197692,1,1,4,0.0393,0.493,0.613,0,0.128,-6.636,0.414,0.373,156.104,My All
Metro Spider (with Young Thug),"Metro Boomin, Young Thug",2022,74,174560,1,1,4,0.0411,0.709,0.734,0,0.346,-5.027,0.125,0.245,143.087,HEROES & VILLAINS
Rich Spirit,Kendrick Lamar,2022,75,202285,10,0,4,0.428,0.852,0.421,2.28e-06,0.106,-9.153,0.208,0.457,95.977,Mr. Morale & The Big Steppers
Numb,"Marshmello, Khalid",2022,79,155589,0,0,4,0.121,0.912,0.774,0.0127,0.101,-4.673,0.0455,0.632,119.966,Numb
Cigarettes,Juice WRLD,2022,73,227527,2,1,4,0.0306,0.587,0.614,0,0.399,-6.344,0.0435,0.451,160.075,Fighting Demons (Deluxe)
I Can't Save You (Interlude) [with Future & feat. Don Toliver],"Metro Boomin, Future, Don Toliver",2022,73,90720,1,1,4,0.0301,0.668,0.727,0,0.143,-4.613,0.248,0.309,143.083,HEROES & VILLAINS
HASTA LA MUERTE,"Eslabon Armado, Ivan Cornejo",2022,72,209903,11,1,3,0.28,0.555,0.832,0,0.0894,-3.691,0.0412,0.43,170.124,NOSTALGIA
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",2022,76,239027,1,0,4,0.319,0.775,0.736,0.00116,0.127,-8.072,0.247,0.362,100.988,Mr. Morale & The Big Steppers
Good Looking,Suki Waterhouse,2022,75,214800,4,1,3,0.077,0.364,0.554,0.000297,0.125,-9.076,0.0301,0.257,150.079,Good Looking
BackOutsideBoyz,Drake,2022,74,152962,5,0,4,0.0407,0.849,0.433,0,0.388,-8.434,0.316,0.395,142.11,Her Loss
First Light,Xavier Wulf,2022,72,131181,4,0,4,0.0509,0.654,0.822,0,0.118,-6.065,0.146,0.309,175.913,Blood Shore Season 3
Memories,Conan Gray,2022,79,248819,11,1,4,0.00979,0.34,0.684,0,0.348,-6.306,0.044,0.556,112.969,Superache
On Time (with John Legend),"Metro Boomin, John Legend",2022,74,168920,5,0,4,0.736,0.364,0.62,0.00225,0.429,-6.638,0.0555,0.491,79.904,HEROES & VILLAINS
Talk,Yeat,2022,73,174857,4,0,4,0.0873,0.698,0.763,0,0.647,-4.716,0.205,0.252,139.939,Lyfë
Quickie,Moneybagg Yo,2022,72,187826,2,1,4,0.0901,0.87,0.506,0,0.145,-9.415,0.432,0.347,137.921,Quickie
P power (feat. Drake),"Gunna, Drake",2022,72,193347,1,1,4,0.0199,0.828,0.591,0.000323,0.361,-6.217,0.109,0.202,119.251,DS4EVER
Los Botones Azules,"Junior H, Luis R Conriquez",2022,80,135612,5,1,3,0.0877,0.784,0.737,0,0.1,-2.174,0.0758,0.623,97.5,Mi Vida En Un Cigarro 2
Where It Ends,Bailey Zimmerman,2022,70,179294,9,1,4,0.259,0.431,0.837,0,0.0879,-5.067,0.0432,0.648,170.041,Where It Ends
Capo,NLE Choppa,2022,73,192200,2,1,4,0.119,0.614,0.953,0,0.331,-4.162,0.0688,0.593,154.969,Capo
Hours In Silence,"Drake, 21 Savage",2022,73,399154,6,0,4,0.234,0.501,0.403,0,0.267,-11.106,0.119,0.111,118.352,Her Loss
WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1,"TWISTED, Oliver Tree",2022,83,164629,2,0,4,0.15,0.604,0.601,0.000579,0.168,-7.887,0.0628,0.156,139.88,WORTH NOTHING (Fast and Furious: Drift Tape/Phonk Vol 1)
Cash In Cash Out,"Pharrell Williams, 21 Savage, Tyler, The Creator",2022,72,216136,7,1,4,0.00721,0.877,0.56,1.45e-06,0.0839,-3.751,0.0596,0.154,119.971,Cash In Cash Out
Anti-Hero,Taylor Swift,2022,75,200690,4,1,4,0.133,0.638,0.634,1.23e-06,0.152,-6.582,0.0457,0.519,96.953,Midnights (3am Edition)
Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),"Metro Boomin, A$AP Rocky, Takeoff",2022,73,189427,5,0,3,0.112,0.491,0.77,0,0.319,-6.018,0.308,0.37,177.977,HEROES & VILLAINS
Cookie,NewJeans,2022,80,235562,0,1,4,0.0596,0.847,0.638,0,0.0894,-3.764,0.0575,0.661,156.935,NewJeans 1st EP 'New Jeans'
Little Freak,Harry Styles,2022,77,202183,3,1,4,0.719,0.559,0.535,0.000143,0.0954,-7.723,0.039,0.402,141.96,Harry's House
vendetta!,"MUPP, Sadfriendd",2022,79,107045,1,1,4,0.175,0.706,0.91,2e-06,0.11,-3.527,0.146,0.667,126.007,vendetta!
Lavender Haze,Taylor Swift,2022,75,202396,10,1,4,0.204,0.735,0.444,0.0012,0.17,-10.519,0.0684,0.0984,97.038,Midnights (3am Edition)
Poland,Lil Yachty,2022,74,83200,5,0,4,0.141,0.695,0.555,0.826,0.11,-8.5,0.0509,0.26,150.024,Poland
2 Million Up,Peezy,2022,70,159973,6,0,4,0.115,0.884,0.423,0,0.0895,-10.181,0.275,0.259,95.753,ONLY BUILT 4 DIAMOND LINKS
More M’s,"Drake, 21 Savage",2022,72,221406,1,1,4,0.0405,0.704,0.504,0.000422,0.139,-6.749,0.223,0.0713,82.537,Her Loss
Fingers Crossed,Lauren Spencer Smith,2022,76,175345,5,1,4,0.618,0.56,0.473,0,0.31,-7.23,0.0533,0.441,109.414,Fingers Crossed
To The Bone (feat. YoungBoy Never Broke Again),"Quavo, Takeoff, YoungBoy Never Broke Again",2022,72,283196,11,0,4,0.0395,0.899,0.582,0,0.1,-7.275,0.264,0.505,149.973,Only Built For Infinity Links
Real Spill,Lil Baby,2022,72,198722,2,1,4,0.0496,0.776,0.557,0,0.112,-7.441,0.545,0.284,156.978,It's Only Me
All The Money (with Gunna) [Bonus],"Metro Boomin, Gunna",2022,72,167400,4,0,4,0.053,0.837,0.58,0.00276,0.699,-6.932,0.0618,0.262,111.981,HEROES & VILLAINS
Too Well,Reneé Rapp,2022,74,156632,10,1,4,0.125,0.668,0.618,0,0.112,-4.639,0.0607,0.389,120.951,Everything To Everyone
Vigilante Shit,Taylor Swift,2022,75,164801,4,0,4,0.173,0.798,0.277,5.25e-05,0.121,-11.096,0.39,0.163,79.846,Midnights
Betty (Get Money),Yung Gravy,2022,74,146471,1,1,4,0.00524,0.723,0.772,1.15e-05,0.367,-6.784,0.0792,0.58,102.004,Betty (Get Money)
911 - En Vivo,"Fuerza Regida, Grupo Frontera",2022,78,175424,0,1,4,0.528,0.641,0.517,0,0.136,-5.472,0.0673,0.642,127.902,911 (En Vivo)
Paris,Taylor Swift,2022,74,196259,7,1,4,0.112,0.7,0.509,3.27e-05,0.137,-10.547,0.0789,0.345,110.947,Midnights (3am Edition)
Flower Shops (feat. Morgan Wallen),"ERNEST, Morgan Wallen",2022,69,214405,7,1,3,0.118,0.527,0.461,0,0.0831,-5.908,0.0269,0.227,128.153,FLOWER SHOPS (THE ALBUM)
Maroon,Taylor Swift,2022,74,218271,7,1,4,0.0593,0.658,0.378,0,0.0976,-8.3,0.0379,0.0382,108.034,Midnights (3am Edition)
Si Fuera Fácil,Grupo Marca Registrada,2022,79,170496,10,1,3,0.446,0.794,0.677,0.0313,0.076,-9.969,0.0713,0.611,101.467,Si Fuera Fácil
Forgiveless (feat. Ol' Dirty Bastard),"SZA, Ol' Dirty Bastard",2022,72,141960,9,1,4,0.366,0.668,0.769,0,0.0861,-5.25,0.218,0.469,79.852,SOS
We Got History,Mitchell Tenpenny,2022,70,203680,0,1,4,0.0014,0.628,0.833,0,0.104,-6.327,0.0311,0.309,98.025,This Is the Heavy
Sticky,Drake,2022,74,243228,6,1,4,0.0917,0.853,0.495,0.000217,0.0844,-14.63,0.14,0.0774,137.027,"Honestly, Nevermind"
Heavy Eyes,Zach Bryan,2022,69,190780,5,1,4,0.032,0.471,0.912,0,0.343,-3.032,0.0724,0.613,139.667,American Heartbreak
Doja,Central Cee,2022,83,97393,6,1,4,0.38,0.911,0.573,0,0.403,-7.43,0.288,0.972,140.04,Doja
Un Ratito,Bad Bunny,2022,79,176936,0,0,4,0.305,0.787,0.546,4.55e-05,0.122,-7.094,0.0532,0.222,93.05,Un Verano Sin Ti
La Última Vez - Deluxe,Ivan Cornejo,2022,69,252166,2,0,3,0.622,0.523,0.457,0,0.108,-8.213,0.0296,0.32,141.922,Dañado (Deluxe)
Don't Think Jesus,Morgan Wallen,2022,69,226975,2,1,3,0.469,0.578,0.431,0,0.137,-7.034,0.0269,0.21,116.979,Don't Think Jesus
Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],"Metro Boomin, 21 Savage, Mustafa",2022,72,310960,1,1,4,0.131,0.521,0.526,0.000577,0.173,-8.691,0.276,0.179,161.571,HEROES & VILLAINS
No Es Por Acá,Carin Leon,2022,79,167692,2,1,3,0.456,0.746,0.37,0,0.106,-6.309,0.0306,0.595,97.568,No Es Por Acá
Karma,Taylor Swift,2022,74,204852,8,1,4,0.074,0.649,0.622,0,0.594,-7.054,0.0582,0.106,90.024,Midnights (3am Edition)
Te Felicito,"Shakira, Rauw Alejandro",2022,84,172235,5,1,4,0.234,0.695,0.636,0,0.081,-4.654,0.317,0.575,174.14,Te Felicito
Fancy Like,Walker Hayes,2022,71,161853,1,1,4,0.111,0.647,0.765,0,0.315,-6.459,0.06,0.855,79.994,Country Stuff The Album
Está Dañado,Ivan Cornejo,2022,70,201195,8,1,3,0.501,0.578,0.459,1.86e-05,0.143,-11.938,0.041,0.164,160.065,Dañado
Everything She Ain’t,Hailey Whitters,2022,69,151973,2,1,4,0.175,0.796,0.621,0,0.274,-6.129,0.0346,0.808,121.904,Everything She Ain’t
Spread Thin,Mariah the Scientist,2022,71,202520,6,0,4,0.0553,0.621,0.411,0,0.0816,-8.261,0.0333,0.357,110.113,Buckles Laboratories Presents: The Intermission
Love Lost,"Mac Miller, The Temper Trap",2022,74,162876,2,1,4,0.528,0.735,0.812,0,0.186,-4.417,0.151,0.584,109.835,"I Love Life, Thank You"
Hanging With Wolves,Lil Durk,2022,71,205893,11,0,4,0.0168,0.823,0.636,0,0.108,-7.239,0.0612,0.5,151.978,Hanging With Wolves
Stick Season,Noah Kahan,2022,71,182347,9,1,4,0.799,0.664,0.5,0,0.0966,-6.935,0.0651,0.801,117.896,Stick Season
pushin P (feat. Young Thug),"Gunna, Future, Young Thug",2022,74,136267,1,0,1,0.00783,0.773,0.422,0.00693,0.129,-4.572,0.187,0.488,77.502,DS4EVER
"You're On Your Own, Kid",Taylor Swift,2022,74,194207,2,1,4,0.416,0.694,0.38,8.47e-06,0.126,-10.307,0.0614,0.376,120.044,Midnights (3am Edition)
Pop Out (feat. Nardo Wick),"Lil Baby, Nardo Wick",2022,70,195197,1,1,4,0.00248,0.474,0.576,0.000309,0.174,-6.963,0.257,0.285,157.947,It's Only Me
Love Of My Life,Harry Styles,2022,76,191638,7,1,4,0.669,0.555,0.536,0,0.0623,-8.233,0.0452,0.203,118.057,Harry's House
Glimpse of Us,Joji,2022,78,233456,8,1,3,0.891,0.44,0.317,4.78e-06,0.141,-9.258,0.0531,0.268,169.914,SMITHEREENS
Homesick,Noah Kahan,2022,70,194417,6,1,4,0.0261,0.503,0.643,2.27e-05,0.314,-6.494,0.0407,0.43,169.955,Stick Season
Puro Campeón,"Grupo Marca Registrada, Luis R Conriquez",2022,79,196437,10,1,4,0.361,0.851,0.542,3.73e-06,0.132,-8.152,0.122,0.789,101.896,Puro Campeón
Midnight Rain,Taylor Swift,2022,74,174783,0,1,4,0.71,0.636,0.377,6.51e-05,0.115,-11.721,0.0708,0.23,139.966,Midnights (3am Edition)
Un Coco,Bad Bunny,2022,80,196413,11,1,4,0.207,0.839,0.69,8.33e-06,0.176,-4.464,0.0615,0.744,151.991,Un Verano Sin Ti
Fall in Love with You.,Montell Fish,2022,74,132000,4,1,3,0.92,0.538,0.0203,0.019,0.104,-23.163,0.0437,0.103,121.447,JAMIE
From Austin,Zach Bryan,2022,69,207453,0,1,4,0.633,0.5,0.485,1.26e-06,0.107,-7.94,0.0422,0.379,109.755,American Heartbreak
Bye Bye,"Marshmello, Juice WRLD",2022,73,108499,3,0,4,0.0574,0.645,0.525,0,0.505,-5.399,0.0355,0.238,83.018,Bye Bye
Your Heart Or Mine,Jon Pardi,2022,69,161200,5,0,4,0.0539,0.639,0.713,0,0.102,-4.368,0.0337,0.717,86.1,Mr. Saturday Night
Grapejuice,Harry Styles,2022,74,191959,5,1,4,0.357,0.645,0.721,0.143,0.204,-4.394,0.0336,0.88,182.928,Harry's House
New Opp,Sha Gz,2022,71,93858,0,1,4,0.369,0.766,0.623,3.11e-06,0.151,-8.994,0.277,0.45,148.86,New Opp
Bigger Than The Whole Sky,Taylor Swift,2022,74,218503,6,1,4,0.826,0.422,0.235,0.00648,0.115,-12.379,0.0568,0.068,165.71,Midnights (3am Edition)
Bejeweled,Taylor Swift,2022,73,194166,7,1,4,0.0661,0.7,0.55,0.000102,0.091,-9.13,0.0653,0.412,164.003,Midnights (3am Edition)
Los Collares,"Oscar Maydon, El Padrinito Toys",2022,81,148793,1,1,3,0.208,0.645,0.712,0,0.3,-5.787,0.188,0.805,136.724,Los Collares
Victoria's Secret,Jax,2022,73,176125,6,1,4,0.00655,0.586,0.556,0,0.0836,-7.639,0.0592,0.517,167.018,Victoria’s Secret
How Do I Say Goodbye,Dean Lewis,2022,81,163603,8,1,4,0.214,0.4,0.641,0,0.0656,-6.303,0.0674,0.393,81.552,How Do I Say Goodbye
PUNTO 40,"Rauw Alejandro, Baby Rasta",2022,80,190654,0,1,4,0.00127,0.873,0.826,0.0361,0.311,-0.722,0.0876,0.201,106.972,PUNTO 40
Flowers,Lauren Spencer Smith,2022,74,157373,3,1,4,0.869,0.684,0.449,0,0.0881,-9.738,0.611,0.341,66.165,Flowers
IF YOU GO DOWN (I'M GOIN' DOWN TOO),Kelsea Ballerini,2022,69,166036,11,1,4,0.454,0.676,0.856,0,0.141,-4.35,0.0393,0.965,144.092,SUBJECT TO CHANGE
Otro Atardecer,"Bad Bunny, The Marías",2022,78,244444,2,1,4,0.59,0.777,0.595,0.00139,0.0669,-6.79,0.0375,0.546,108.02,Un Verano Sin Ti
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"Jung Kook, BTS, FIFA Sound",2022,84,201391,0,1,4,0.158,0.71,0.879,0.00142,0.439,-4.218,0.0422,0.341,114.993,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
After LIKE,IVE,2022,80,176973,0,1,4,0.103,0.68,0.922,0,0.0877,-1.215,0.121,0.799,125.014,After LIKE
Super Gremlin,Kodak Black,2022,70,200548,2,1,4,0.00265,0.825,0.414,0,0.357,-6.634,0.144,0.106,72.993,Back For Everything
Besos Moja2,"Wisin & Yandel, ROSALÍA",2022,84,229065,5,0,4,0.0584,0.736,0.727,1.91e-06,0.0976,-4.642,0.0571,0.644,94.048,La Última Misión
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2022,79,186828,0,1,3,0.331,0.774,0.748,0.0057,0.126,-7.086,0.0352,0.714,135.929,Siempre Pendientes
About Damn Time,Lizzo,2022,77,191938,10,0,4,0.0974,0.836,0.743,0,0.335,-6.305,0.0653,0.723,108.965,Special
Way of the Triune God - Hallelujah Version,Tyler Childers,2022,68,208813,10,1,4,0.629,0.696,0.583,0,0.123,-6.384,0.0307,0.543,79.057,Can I Take My Hounds to Heaven?
Tatuajes - Deluxe,Ivan Cornejo,2022,68,198000,5,1,4,0.844,0.621,0.256,0.000352,0.138,-11.78,0.0282,0.205,130.123,Dañado (Deluxe)
LOKERA,"Rauw Alejandro, Lyanno, Brray",2022,81,195294,11,0,4,0.21,0.834,0.828,5.91e-06,0.103,-2.657,0.0452,0.58,102.019,LOKERA
Run BTS,BTS,2022,81,204940,8,1,4,0.0201,0.724,0.818,0,0.0358,-3.747,0.168,0.696,77.004,Proof
RAVE,Dxrk ダーク,2022,80,169245,8,1,4,0.235,0.716,0.748,0.849,0.114,-6.06,0.0356,0.338,119.918,RAVE
Enough,charlieonnafriday,2022,73,185267,7,1,4,0.22,0.745,0.543,0,0.174,-8.137,0.0396,0.242,139.964,Enough
ALIEN SUPERSTAR,Beyoncé,2022,76,215460,10,0,4,0.00453,0.545,0.641,6.59e-05,0.171,-6.398,0.0998,0.464,121.892,RENAISSANCE
Andamos Mejor,Los Gemelos De Sinaloa,2022,75,137184,9,1,4,0.28,0.855,0.59,0.0982,0.149,-8.55,0.0751,0.283,110.016,Andamos Mejor
NOSTYLIST,Destroy Lonely,2022,71,180000,11,0,4,0.0396,0.567,0.773,0,0.111,-5.166,0.0775,0.496,160.08,NO STYLIST
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2022,80,136913,8,1,3,0.401,0.661,0.6,0,0.141,-4.495,0.125,0.848,148.666,Ch y la Pizza
Daydreaming,Harry Styles,2022,74,187342,4,0,4,0.311,0.707,0.811,0.0152,0.131,-5.298,0.0304,0.899,113.971,Harry's House
Dancin’ In The Country,Tyler Hubbard,2022,69,179645,7,1,4,0.00408,0.655,0.869,0,0.104,-4.807,0.0633,0.541,114.984,Dancin' In The Country
Every Night Every Morning,Maddie & Tae,2022,69,196890,7,1,4,0.00799,0.618,0.75,0,0.141,-4.608,0.0287,0.619,123.885,Every Night Every Morning
True Love,"Kanye West, XXXTENTACION",2022,74,148571,5,0,4,0.0182,0.712,0.861,6.09e-06,0.511,-5.487,0.25,0.388,84.042,True Love
ULALA (OOH LA LA),"Myke Towers, Daddy Yankee",2022,82,188009,0,0,4,0.0462,0.872,0.681,1.38e-05,0.129,-4.348,0.11,0.481,96.986,ULALA (OOH LA LA)
Hurt,NewJeans,2022,77,177947,10,0,4,0.731,0.599,0.446,0,0.105,-6.511,0.0833,0.567,179.877,NewJeans 1st EP 'New Jeans'
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",2022,80,154487,2,1,4,0.619,0.881,0.592,1.32e-05,0.0901,-4.898,0.0324,0.719,101.058,Left and Right (Feat. Jung Kook of BTS)
Vamos Para Arriba,"Junior H, Gabito Ballesteros",2022,78,172227,5,0,3,0.498,0.699,0.51,0,0.22,-7.153,0.0352,0.625,98.07,Vamos Para Arriba
i'm yours sped up,Isabel LaRosa,2022,79,127781,7,0,1,0.108,0.39,0.752,0.00308,0.555,-7.581,0.19,0.637,128.926,i'm yours
Mastermind,Taylor Swift,2022,74,191039,4,1,4,0.553,0.662,0.357,0.00129,0.0837,-14.064,0.154,0.124,125.966,Midnights
On tha linë,Yeat,2022,71,154787,1,0,4,0.00482,0.771,0.594,6.88e-06,0.111,-8.991,0.193,0.119,149.106,2 Alivë
Put It On Me,YoungBoy Never Broke Again,2022,69,152195,9,1,4,0.0331,0.665,0.666,0,0.0841,-7.009,0.429,0.844,164.205,Realer 2
BREAK MY SOUL,Beyoncé,2022,75,278282,1,0,4,0.0581,0.693,0.887,2.71e-06,0.27,-5.039,0.0795,0.864,114.942,RENAISSANCE
Heart Like A Truck,Lainey Wilson,2022,68,199040,9,1,4,0.148,0.587,0.632,1.01e-05,0.158,-5.416,0.0311,0.392,139.974,Bell Bottom Country
In The Stars,Benson Boone,2022,79,216410,10,1,3,0.338,0.362,0.54,0,0.139,-6.031,0.0528,0.3,78.007,In The Stars
Vamos Aclarando Muchas Cosas - En Vivo,Codiciado,2022,77,190720,10,1,3,0.761,0.718,0.55,0,0.105,-5.743,0.0381,0.824,107.292,Vamos Aclarando Muchas Cosas (En Vivo)
Mi Terre CLN,"Fuerza Regida, Juanpa Salazar",2022,75,172056,7,1,3,0.161,0.723,0.697,0,0.0814,-3.643,0.215,0.858,159.01,Pa Que Hablen
High Infidelity,Taylor Swift,2022,73,231475,10,1,4,0.723,0.646,0.529,0,0.0885,-10.179,0.0864,0.755,87.862,Midnights (3am Edition)
Nxde,(G)I-DLE,2022,80,178453,4,0,4,0.0413,0.726,0.91,7.81e-06,0.479,-1.948,0.179,0.648,135.966,I love
Mastermind,Taylor Swift,2022,72,191039,4,1,4,0.571,0.661,0.352,0.00147,0.0884,-14.077,0.117,0.13,125.934,Midnights (3am Edition)
Count Me Out,Kendrick Lamar,2022,73,283642,4,0,4,0.671,0.776,0.431,0,0.153,-7.544,0.091,0.495,133.999,Mr. Morale & The Big Steppers
Love & War,Kodak Black,2022,70,239146,11,0,4,0.58,0.762,0.649,1.7e-05,0.0971,-5.624,0.0527,0.501,145.09,Back For Everything
FreakyT,TiaCorine,2022,68,194306,0,0,4,0.241,0.806,0.542,0.000494,0.113,-7.482,0.064,0.14,142.881,I Can't Wait
Chale,Eden Muñoz,2022,79,170745,8,1,3,0.395,0.551,0.436,0,0.0719,-8.029,0.0428,0.862,188.651,Chale
Forever (feat. Fridayy),"Lil Baby, Fridayy",2022,71,167977,4,0,3,0.414,0.462,0.251,0,0.201,-12.072,0.159,0.137,89.705,It's Only Me
Family Line,Conan Gray,2022,74,216095,6,1,3,0.619,0.326,0.397,0,0.0979,-8.145,0.0461,0.276,153.713,Superache
Spinnin,"Connor Price, Bens",2022,75,110938,11,0,4,0.226,0.765,0.572,0,0.192,-6.153,0.128,0.475,140.013,Spinnin
Silent Hill,"Kendrick Lamar, Kodak Black",2022,71,220779,1,0,4,0.438,0.907,0.577,3.19e-05,0.137,-6.737,0.0767,0.801,140.07,Mr. Morale & The Big Steppers
AMERICA HAS A PROBLEM,Beyoncé,2022,72,198898,1,1,4,0.00348,0.789,0.614,0.00152,0.283,-6.491,0.0579,0.108,126.035,RENAISSANCE
Poppin,Yeat,2022,70,167187,7,1,4,0.262,0.705,0.613,6.97e-06,0.198,-7.441,0.123,0.259,74.521,2 Alivë
En La De Ella,"Jhayco, Feid, Sech",2022,80,230653,1,1,4,0.0798,0.816,0.77,0,0.118,-5.477,0.0538,0.671,96.99,En La De Ella
Thinking 'Bout You (feat. MacKenzie Porter),"Dustin Lynch, MacKenzie Porter",2022,69,170560,8,1,4,0.137,0.403,0.711,0,0.109,-4.189,0.0569,0.801,203.803,Blue In The Sky
